textnumber,logstorytext1,logstorytext2,logstorytext3,logstorytext4,logstorytext5,logstorytext6,lengthcount,mainstory,26以上判定(以上で1),一行残り字数,二行残り字数,三行残り字数,四行残り字数,五行残り字数,六行残り字数
38,わしの暇つぶしコンテンツと ,して１年頑張るがよいぞ！ふぉ,ふぉふぉ！」,0,0,0,66,わしの暇つぶしコンテンツとして１年頑張るがよいぞ！ふぉふぉふぉ！」,1,40,12,0,0,0,0
39,最悪……きっとこれは悪い夢 ,だ、そうに違いない,0,0,0,0,44,最悪……きっとこれは悪い夢だ、そうに違いない,1,18,0,0,0,0,0
40,「おい大丈夫か？！」,0,0,0,0,0,20,「おい大丈夫か？！」,0,0,0,0,0,0,0
41,「息はある様だが……」,0,0,0,0,0,22,「息はある様だが……」,0,0,0,0,0,0,0
42,「起きて？！うーん、返事が ,ないねぇ……」,0,0,0,0,40,「起きて？！うーん、返事がないねぇ……」,1,14,0,0,0,0,0
43,                           ,            ,0,0,0,0,38,                                      ,1,12,0,0,0,0,0
44,「ぎゃーーーー！！！お・じ ,・さ・ん？！！！！」,0,0,0,0,46,「ぎゃーーーー！！！お・じ・さ・ん？！！！！」,1,20,0,0,0,0,0
45,「この僕に向かっておじさん ,……だと？！」,0,0,0,0,40,「この僕に向かっておじさん……だと？！」,1,14,0,0,0,0,0
46,「この子、まだ寝ぼけてるの ,かもね」,0,0,0,0,34,「この子、まだ寝ぼけてるのかもね」,1,8,0,0,0,0,0
47,「はは、こいつおもしれ～！ ,」,0,0,0,0,28,「はは、こいつおもしれ～！」,1,2,0,0,0,0,0
48,転校初日からとんでもない目 ,にあっちゃった……。私、イケ,メン達とドキドキ？トキメキラ, イフする予定だったのに、,0,0,106,転校初日からとんでもない目にあっちゃった……。私、イケメン達とドキドキ？トキメキライフする予定だったのに、,1,80,52,24,0,0,0
49,これからこのおじさん達とシ ,ワシワ？ドギマギライフをおく,んなきゃいけないの？？,0,0,0,76,これからこのおじさん達とシワシワ？ドギマギライフをおくんなきゃいけないの？？,1,50,22,0,0,0,0
50,                           , ,0,0,0,0,27,                           ,1,1,0,0,0,0,0
51,あれから数週間たったけど、 ,未だにおじさんになったOG☆３,に慣れないよ......。,0,0,0,74,あれから数週間たったけど、未だにおじさんになったOG☆３に慣れないよ......。,1,48,20,0,0,0,0
52,バレンタインまでに OG☆３の, 誰かと両思いかぁ。,0,0,0,0,45,バレンタインまでに OG☆３の誰かと両思いかぁ。,1,19,0,0,0,0,0
53,それを達成しないと３人が一 ,生おじさんに見える呪いにかけ,てやるって言われたときは冗談, だと思ったけど,0,0,96,それを達成しないと３人が一生おじさんに見える呪いにかけてやるって言われたときは冗談だと思ったけど,1,70,42,14,0,0,0
54,数週間たってもおじさんに見 ,えてるから本当なんだろうな..,....。,0,0,0,60,数週間たってもおじさんに見えてるから本当なんだろうな......。,1,34,6,0,0,0,0
55,ていうかそろそろ誰かと仲良 ,くならないとまずいぞ！どうし,よう......。 ,0,0,0,67,ていうかそろそろ誰かと仲良くならないとまずいぞ！どうしよう......。 ,1,41,13,0,0,0,0
56,「おい、大丈夫か？さっきか ,らボーっとしているぞ。」,0,0,0,0,50,「おい、大丈夫か？さっきからボーっとしているぞ。」,1,24,0,0,0,0,0
57,「ハッ！ごめんなさい、考え ,事をしてて......。」,0,0,0,0,46,「ハッ！ごめんなさい、考え事をしてて......。」,1,20,0,0,0,0,0
58,OG☆３の３人は4月のあの日か, らなにかと気にかけてくれて , て、幸い接点は途切れていな ,い。OG☆３は見た目だけじゃな, くて中身も優しいんだな～。 ,今は見た目おじさんだけど！！,163,OG☆３の３人は4月のあの日からなにかと気にかけてくれていて、幸い接点は途切れていない。OG☆３は見た目だけじゃなくて中身も優しいんだな～。今は見た目おじさんだけど！！,1,137,109,81,53,25,0
59,「あの日銅像にぶつかって以 ,来、ボーっとしていることが増,えたと言っていたが......本当, に大丈夫か？」,0,0,96,「あの日銅像にぶつかって以来、ボーっとしていることが増えたと言っていたが......本当に大丈夫か？」,1,70,42,14,0,0,0
60,「心配してくれてありがとう ,ございます、光先輩！ ……で , 、授業中もぼんやりすること ,が多くて内容がなかなか頭に入, らないんですよね。」,0,129,「心配してくれてありがとうございます、光先輩！ ……でも、授業中もぼんやりすることが多くて内容がなかなか頭に入らないんですよね。」,1,103,75,47,19,0,0
61,「それは心配だな......。放 ,課後勉強をみてやろう。」,0,0,0,0,50,「それは心配だな......。放課後勉強をみてやろう。」,1,24,0,0,0,0,0
62,教室,0,0,0,0,0,4,教室,0,0,0,0,0,0,0
63,「......じゃあここをこうし ,て、こうすれば......！」,0,0,0,0,50,「......じゃあここをこうして、こうすれば......！」,1,24,0,0,0,0,0
64,「正解だ。今日はここまでに ,しようか。」 ,0,0,0,0,39,「正解だ。今日はここまでにしようか。」 ,1,13,0,0,0,0,0
65,「助かりました！ありがとう ,ございます。」,0,0,0,0,40,「助かりました！ありがとうございます。」,1,14,0,0,0,0,0
66,「ああ。困っている生徒を助 ,けるのは生徒会長の務めだから,な。」,0,0,0,60,「ああ。困っている生徒を助けるのは生徒会長の務めだからな。」,1,34,6,0,0,0,0
67,光先輩、勉強教えるのが上手 ,くて早めに終われたな。これか,らどうしよう?,0,0,0,67,光先輩、勉強教えるのが上手くて早めに終われたな。これからどうしよう?,1,41,13,0,0,0,0
68,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
69,やっぱりせっかくのチャンス ,だし光先輩を誘って仲良くなる,べきだよね！,0,0,0,66,やっぱりせっかくのチャンスだし光先輩を誘って仲良くなるべきだよね！,1,40,12,0,0,0,0
70,「光先輩、これから時間空い ,てますか？商店街で買いたいも,のがあって。」,0,0,0,68,「光先輩、これから時間空いてますか？商店街で買いたいものがあって。」,1,42,14,0,0,0,0
71,「ああ。いいぞ。僕も行きた ,い所があったんだ」,0,0,0,0,44,「ああ。いいぞ。僕も行きたい所があったんだ」,1,18,0,0,0,0,0
72,光先輩が行きたい所ってどこ ,なんだろう？,0,0,0,0,38,光先輩が行きたい所ってどこなんだろう？,1,12,0,0,0,0,0
73,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
74,「え、ここ……ですか？」,0,0,0,0,0,24,「え、ここ……ですか？」,0,0,0,0,0,0,0
75,「ここだ。」,0,0,0,0,0,12,「ここだ。」,0,0,0,0,0,0,0
76,目の前にあるのは女子高生御 ,用達のファンシーショップだ。,0,0,0,0,54,目の前にあるのは女子高生御用達のファンシーショップだ。,1,28,0,0,0,0,0
77,「光先輩って意外とかわいい ,ものが好きなんですね。」,0,0,0,0,50,「光先輩って意外とかわいいものが好きなんですね。」,1,24,0,0,0,0,0
78,「別に僕がかわいい物好きな ,訳ではないからな。,0,0,0,0,44,「別に僕がかわいい物好きな訳ではないからな。,1,18,0,0,0,0,0
79,年の離れた妹に誕生日プレゼ ,ントを買いにきただけだ、勘違,いしないでくれ。」,0,0,0,72,年の離れた妹に誕生日プレゼントを買いにきただけだ、勘違いしないでくれ。」,1,46,18,0,0,0,0
80,ちょっとムキになっているよ ,うにみえるのは気のせい？,0,0,0,0,50,ちょっとムキになっているようにみえるのは気のせい？,1,24,0,0,0,0,0
81,「これもかわいいな……ぬい ,ぐるみも捨て難いし……こっち,の限定コラボのお菓子もいいな, 。」,0,0,86,「これもかわいいな……ぬいぐるみも捨て難いし……こっちの限定コラボのお菓子もいいな。」,1,60,32,4,0,0,0
82,さっきから私そっちのけで真 ,剣に悩んでるな,0,0,0,0,40,さっきから私そっちのけで真剣に悩んでるな,1,14,0,0,0,0,0
83,かまって欲しいからイタズラ ,しちゃえ！,0,0,0,0,36,かまって欲しいからイタズラしちゃえ！,1,10,0,0,0,0,0
84,「光先輩！」,0,0,0,0,0,12,「光先輩！」,0,0,0,0,0,0,0
85,           ,0,0,0,0,0,11,           ,0,0,0,0,0,0,0
86,「な、なんだ？！」,0,0,0,0,0,18,「な、なんだ？！」,0,0,0,0,0,0,0
87,「かわいい〜！その帽子似合 ,ってますよ。」,0,0,0,0,39,「かわいい〜！その帽子似合ってますよ。」,1,13,0,0,0,0,0
88,「先輩に対してなにを……っ ,てこれ持ってるぞ。かわいいよ,な、これ」,0,0,0,64,「先輩に対してなにを……ってこれ持ってるぞ。かわいいよな、これ」,1,38,10,0,0,0,0
89,「もってるんですか？！やっ ,ぱり光先輩ってかわいいものが,好きなんですね。」,0,0,0,72,「もってるんですか？！やっぱり光先輩ってかわいいものが好きなんですね。」,1,46,18,0,0,0,0
90,「勘違いしないでくれ。妹か ,らもらっただけだからな！」,0,0,0,0,52,「勘違いしないでくれ。妹からもらっただけだからな！」,1,26,0,0,0,0,0
91,やっぱりかわいい物好きを否 ,定しているときの光先輩はムキ,になっているような気がする。,0,0,0,82,やっぱりかわいい物好きを否定しているときの光先輩はムキになっているような気がする。,1,56,28,0,0,0,0
92,「今日は本当にありがとうご ,ざいました。」,0,0,0,0,40,「今日は本当にありがとうございました。」,1,14,0,0,0,0,0
93,「お疲れ様。」,0,0,0,0,0,14,「お疲れ様。」,0,0,0,0,0,0,0
94,今日は早く帰って教えてもら ,ったところを復習しよう。,0,0,0,0,50,今日は早く帰って教えてもらったところを復習しよう。,1,24,0,0,0,0,0
