textnumber,logstorytext1,logstorytext2,logstorytext3,logstorytext4,logstorytext5,logstorytext6,lengthcount,mainstory,26以上判定(以上で1),一行残り字数,二行残り字数,三行残り字数,四行残り字数,五行残り字数,六行残り字数
38,わしの暇つぶしコンテンツと ,して１年頑張るがよいぞ！ふぉ,ふぉふぉ！」,0,0,0,66,わしの暇つぶしコンテンツとして１年頑張るがよいぞ！ふぉふぉふぉ！」,1,40,12,0,0,0,0
39,最悪……きっとこれは悪い夢 ,だ、そうに違いない,0,0,0,0,44,最悪……きっとこれは悪い夢だ、そうに違いない,1,18,0,0,0,0,0
40,「おい大丈夫か？！」,0,0,0,0,0,20,「おい大丈夫か？！」,0,0,0,0,0,0,0
41,「息はある様だが……」,0,0,0,0,0,22,「息はある様だが……」,0,0,0,0,0,0,0
42,「起きて？！うーん、返事が ,ないねぇ……」,0,0,0,0,40,「起きて？！うーん、返事がないねぇ……」,1,14,0,0,0,0,0
43,                           ,            ,0,0,0,0,38,                                      ,1,12,0,0,0,0,0
44,「ぎゃーーーー！！！お・じ ,・さ・ん？！！！！」,0,0,0,0,46,「ぎゃーーーー！！！お・じ・さ・ん？！！！！」,1,20,0,0,0,0,0
45,「この僕に向かっておじさん ,……だと？！」,0,0,0,0,40,「この僕に向かっておじさん……だと？！」,1,14,0,0,0,0,0
46,「この子、まだ寝ぼけてるの ,かもね」,0,0,0,0,34,「この子、まだ寝ぼけてるのかもね」,1,8,0,0,0,0,0
47,「はは、こいつおもしれ～！ ,」,0,0,0,0,28,「はは、こいつおもしれ～！」,1,2,0,0,0,0,0
48,転校初日からとんでもない目 ,にあっちゃった……。私、イケ,メン達とドキドキ？トキメキラ, イフする予定だったのに、,0,0,106,転校初日からとんでもない目にあっちゃった……。私、イケメン達とドキドキ？トキメキライフする予定だったのに、,1,80,52,24,0,0,0
49,これからこのおじさん達とシ ,ワシワ？ドギマギライフをおく,んなきゃいけないの？？,0,0,0,76,これからこのおじさん達とシワシワ？ドギマギライフをおくんなきゃいけないの？？,1,50,22,0,0,0,0
50,                           , ,0,0,0,0,27,                           ,1,1,0,0,0,0,0
51,あれから数週間たったけど、 ,未だにおじさんになったOG☆３,に慣れないよ......。,0,0,0,74,あれから数週間たったけど、未だにおじさんになったOG☆３に慣れないよ......。,1,48,20,0,0,0,0
52,バレンタインまでに OG☆３の, 誰かと両思いかぁ。,0,0,0,0,45,バレンタインまでに OG☆３の誰かと両思いかぁ。,1,19,0,0,0,0,0
53,それを達成しないと３人が一 ,生おじさんに見える呪いにかけ,てやるって言われたときは冗談, だと思ったけど,0,0,96,それを達成しないと３人が一生おじさんに見える呪いにかけてやるって言われたときは冗談だと思ったけど,1,70,42,14,0,0,0
54,数週間たってもおじさんに見 ,えてるから本当なんだろうな..,....。,0,0,0,60,数週間たってもおじさんに見えてるから本当なんだろうな......。,1,34,6,0,0,0,0
55,ていうかそろそろ誰かと仲良 ,くならないとまずいぞ！どうし,よう......。 ,0,0,0,67,ていうかそろそろ誰かと仲良くならないとまずいぞ！どうしよう......。 ,1,41,13,0,0,0,0
56,「おい、大丈夫か？さっきか ,らボーっとしているぞ。」,0,0,0,0,50,「おい、大丈夫か？さっきからボーっとしているぞ。」,1,24,0,0,0,0,0
57,「ハッ！ごめんなさい、考え ,事をしてて......。」,0,0,0,0,46,「ハッ！ごめんなさい、考え事をしてて......。」,1,20,0,0,0,0,0
58,OG☆３の３人は4月のあの日か, らなにかと気にかけてくれて , て、幸い接点は途切れていな ,い。OG☆３は見た目だけじゃな, くて中身も優しいんだな～。 ,今は見た目おじさんだけど！！,163,OG☆３の３人は4月のあの日からなにかと気にかけてくれていて、幸い接点は途切れていない。OG☆３は見た目だけじゃなくて中身も優しいんだな～。今は見た目おじさんだけど！！,1,137,109,81,53,25,0
59,「あの日銅像にぶつかって以 ,来、ボーっとしていることが増,えたと言っていたが......本当, に大丈夫か？」,0,0,96,「あの日銅像にぶつかって以来、ボーっとしていることが増えたと言っていたが......本当に大丈夫か？」,1,70,42,14,0,0,0
60,「心配してくれてありがとう ,ございます、光先輩！ ……で , 、授業中もぼんやりすること ,が多くて内容がなかなか頭に入, らないんですよね。」,0,129,「心配してくれてありがとうございます、光先輩！ ……でも、授業中もぼんやりすることが多くて内容がなかなか頭に入らないんですよね。」,1,103,75,47,19,0,0
61,「それは心配だな......。放 ,課後勉強をみてやろう。」,0,0,0,0,50,「それは心配だな......。放課後勉強をみてやろう。」,1,24,0,0,0,0,0
62,教室,0,0,0,0,0,4,教室,0,0,0,0,0,0,0
63,「......じゃあここをこうし ,て、こうすれば......！」,0,0,0,0,50,「......じゃあここをこうして、こうすれば......！」,1,24,0,0,0,0,0
64,「正解だ。今日はここまでに ,しようか。」 ,0,0,0,0,39,「正解だ。今日はここまでにしようか。」 ,1,13,0,0,0,0,0
65,「助かりました！ありがとう ,ございます。」,0,0,0,0,40,「助かりました！ありがとうございます。」,1,14,0,0,0,0,0
66,「ああ。困っている生徒を助 ,けるのは生徒会長の務めだから,な。」,0,0,0,60,「ああ。困っている生徒を助けるのは生徒会長の務めだからな。」,1,34,6,0,0,0,0
67,光先輩、勉強教えるのが上手 ,くて早めに終われたな。これか,らどうしよう?,0,0,0,67,光先輩、勉強教えるのが上手くて早めに終われたな。これからどうしよう?,1,41,13,0,0,0,0
68,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
69,やっぱりせっかくのチャンス ,だし光先輩を誘って仲良くなる,べきだよね！,0,0,0,66,やっぱりせっかくのチャンスだし光先輩を誘って仲良くなるべきだよね！,1,40,12,0,0,0,0
70,「光先輩、これから時間空い ,てますか？商店街で買いたいも,のがあって。」,0,0,0,68,「光先輩、これから時間空いてますか？商店街で買いたいものがあって。」,1,42,14,0,0,0,0
71,「ああ。いいぞ。僕も行きた ,い所があったんだ」,0,0,0,0,44,「ああ。いいぞ。僕も行きたい所があったんだ」,1,18,0,0,0,0,0
72,光先輩が行きたい所ってどこ ,なんだろう？,0,0,0,0,38,光先輩が行きたい所ってどこなんだろう？,1,12,0,0,0,0,0
73,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
74,「え、ここ……ですか？」,0,0,0,0,0,24,「え、ここ……ですか？」,0,0,0,0,0,0,0
75,「ここだ。」,0,0,0,0,0,12,「ここだ。」,0,0,0,0,0,0,0
76,目の前にあるのは女子高生御 ,用達のファンシーショップだ。,0,0,0,0,54,目の前にあるのは女子高生御用達のファンシーショップだ。,1,28,0,0,0,0,0
77,「光先輩って意外とかわいい ,ものが好きなんですね。」,0,0,0,0,50,「光先輩って意外とかわいいものが好きなんですね。」,1,24,0,0,0,0,0
78,「別に僕がかわいい物好きな ,訳ではないからな。,0,0,0,0,44,「別に僕がかわいい物好きな訳ではないからな。,1,18,0,0,0,0,0
79,年の離れた妹に誕生日プレゼ ,ントを買いにきただけだ、勘違,いしないでくれ。」,0,0,0,72,年の離れた妹に誕生日プレゼントを買いにきただけだ、勘違いしないでくれ。」,1,46,18,0,0,0,0
80,ちょっとムキになっているよ ,うにみえるのは気のせい？,0,0,0,0,50,ちょっとムキになっているようにみえるのは気のせい？,1,24,0,0,0,0,0
81,「これもかわいいな……ぬい ,ぐるみも捨て難いし……こっち,の限定コラボのお菓子もいいな, 。」,0,0,86,「これもかわいいな……ぬいぐるみも捨て難いし……こっちの限定コラボのお菓子もいいな。」,1,60,32,4,0,0,0
82,さっきから私そっちのけで真 ,剣に悩んでるな,0,0,0,0,40,さっきから私そっちのけで真剣に悩んでるな,1,14,0,0,0,0,0
83,かまって欲しいからイタズラ ,しちゃえ！,0,0,0,0,36,かまって欲しいからイタズラしちゃえ！,1,10,0,0,0,0,0
84,「光先輩！」,0,0,0,0,0,12,「光先輩！」,0,0,0,0,0,0,0
85,           ,0,0,0,0,0,11,           ,0,0,0,0,0,0,0
86,「な、なんだ？！」,0,0,0,0,0,18,「な、なんだ？！」,0,0,0,0,0,0,0
87,「かわいい〜！その帽子似合 ,ってますよ。」,0,0,0,0,39,「かわいい〜！その帽子似合ってますよ。」,1,13,0,0,0,0,0
88,「先輩に対してなにを……っ ,てこれ持ってるぞ。かわいいよ,な、これ」,0,0,0,64,「先輩に対してなにを……ってこれ持ってるぞ。かわいいよな、これ」,1,38,10,0,0,0,0
89,「もってるんですか？！やっ ,ぱり光先輩ってかわいいものが,好きなんですね。」,0,0,0,72,「もってるんですか？！やっぱり光先輩ってかわいいものが好きなんですね。」,1,46,18,0,0,0,0
90,「勘違いしないでくれ。妹か ,らもらっただけだからな！」,0,0,0,0,52,「勘違いしないでくれ。妹からもらっただけだからな！」,1,26,0,0,0,0,0
91,やっぱりかわいい物好きを否 ,定しているときの光先輩はムキ,になっているような気がする。,0,0,0,82,やっぱりかわいい物好きを否定しているときの光先輩はムキになっているような気がする。,1,56,28,0,0,0,0
92,「今日は本当にありがとうご ,ざいました。」,0,0,0,0,40,「今日は本当にありがとうございました。」,1,14,0,0,0,0,0
93,「お疲れ様。」,0,0,0,0,0,14,「お疲れ様。」,0,0,0,0,0,0,0
94,今日は早く帰って教えてもら ,ったところを復習しよう。,0,0,0,0,50,今日は早く帰って教えてもらったところを復習しよう。,1,24,0,0,0,0,0
95,夜,0,0,0,0,0,2,夜,0,0,0,0,0,0,0
96,あれ？イ〇スタのフォローリ ,クエストがきてる。めずらしい,な、どんな人だろう？,0,0,0,74,あれ？イ〇スタのフォローリクエストがきてる。めずらしいな、どんな人だろう？,1,48,20,0,0,0,0
97,………………？！,0,0,0,0,0,16,………………？！,0,0,0,0,0,0,0
98,ヒィ〜〜！！！おじさんの自 ,撮りだらけ？！,0,0,0,0,38,ヒィ〜〜！！！おじさんの自撮りだらけ？！,1,12,0,0,0,0,0
99,フォロワーも沢山いるし謎… ,…あ、よく見るとおじさんにな,った桜児(おうじ)くんだ！,0,0,0,78,フォロワーも沢山いるし謎……あ、よく見るとおじさんになった桜児(おうじ)くんだ！,1,52,24,0,0,0,0
100,おじさんに見える呪いって現 ,実だけじゃなくて写真にもかか,ってるんだ……。,0,0,0,70,おじさんに見える呪いって現実だけじゃなくて写真にもかかってるんだ……。,1,44,16,0,0,0,0
101,それはともかく、桜児くんっ ,てもうすぐ誕生日か。,0,0,0,0,46,それはともかく、桜児くんってもうすぐ誕生日か。,1,20,0,0,0,0,0
102,おじさんに見える呪いを解く ,ためにもお誕生日お祝いして親,愛度上げないと！,0,0,0,70,おじさんに見える呪いを解くためにもお誕生日お祝いして親愛度上げないと！,1,44,16,0,0,0,0
103,あ！桜児くんからDMきてる。,0,0,0,0,0,26,あ！桜児くんからDMきてる。,0,0,0,0,0,0,0
104,「この前倒れてた子だよね？ ,イ〇スタでもよろしくねっ！」,0,0,0,0,54,「この前倒れてた子だよね？イ〇スタでもよろしくねっ！」,1,28,0,0,0,0,0
105,桜児くんイ〇スタでも気さく ,だなー。誕生日のこと聞いてみ,よう。,0,0,0,60,桜児くんイ〇スタでも気さくだなー。誕生日のこと聞いてみよう。,1,34,6,0,0,0,0
106,「桜児くんって今度誕生日な ,んだよね？」,0,0,0,0,38,「桜児くんって今度誕生日なんだよね？」,1,12,0,0,0,0,0
107,「そうだよ〜！」,0,0,0,0,0,15,「そうだよ〜！」,0,0,0,0,0,0,0
108,「桜児くんいつもクラスで馴 ,染めるように沢山声かけてくれ,て助かってるから、お近づきの, 印に誕プレ渡してもいい？」,0,0,108,「桜児くんいつもクラスで馴染めるように沢山声かけてくれて助かってるから、お近づきの印に誕プレ渡してもいい？」,1,82,54,26,0,0,0
109,「わ〜！嬉しい！ありがとー ,！誕プレ楽しみにしてるね！」,0,0,0,0,53,「わ〜！嬉しい！ありがとー！誕プレ楽しみにしてるね！」,1,27,-1,0,0,0,0
110,誕生日プレゼント、何にしよ ,う？,0,0,0,0,30,誕生日プレゼント、何にしよう？,1,4,0,0,0,0,0
111, ,0,0,0,0,0,1, ,0,0,0,0,0,0,0
112,今日は桜児くんの誕生日。私 ,なりにイ〇スタ映えしそうなス,イーツを選んでみたけど喜んで, くれるかな……？,0,0,98,今日は桜児くんの誕生日。私なりにイ〇スタ映えしそうなスイーツを選んでみたけど喜んでくれるかな……？,1,72,44,16,0,0,0
113,「桜児くん誕生日おめでとう ,！いつも話しかけてくれてあり,がとう！お近づきの印に可愛い, スイーツを選んでみたよ。」,0,0,108,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印に可愛いスイーツを選んでみたよ。」,1,82,54,26,0,0,0
114,「わ〜！かわいい！ありがと ,う！イ〇スタに載せちゃお！」,0,0,0,0,53,「わ〜！かわいい！ありがとう！イ〇スタに載せちゃお！」,1,27,-1,0,0,0,0
115,どうやら喜んでくれたみたい ,だ。よかった！,0,0,0,0,40,どうやら喜んでくれたみたいだ。よかった！,1,14,0,0,0,0,0
116,今日は桜児くんの誕生日。思 ,いきって煮干し1kgを選んで見 , けど喜んでくれるかな……？,0,0,0,81,今日は桜児くんの誕生日。思いきって煮干し1kgを選んで見たけど喜んでくれるかな……？,1,55,27,-1,0,0,0
117,「桜児くん誕生日おめでとう ,！いつも話しかけてくれてあり,がとう！お近づきの印に煮干し, 1kgを選んでみたよ。」,0,0,103,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印に煮干し1kgを選んでみたよ。」,1,77,49,21,0,0,0
118,「え！やばい！僕誕生日に煮 ,干し１kgもらったのはじめて！,0,0,0,0,54,「え！やばい！僕誕生日に煮干し１kgもらったのはじめて！,1,28,0,0,0,0,0
119,実はイ〇スタで煮干しダイエ ,ットが流行ってるらしいから気,になってたんだよね、今日から, 挑戦しちゃお！」,0,0,98,実はイ〇スタで煮干しダイエットが流行ってるらしいから気になってたんだよね、今日から挑戦しちゃお！」,1,72,44,16,0,0,0
120,煮干しダイエット……？まぁ ,いいや、予想外にもとても喜ん,でくれたみたい！よかった！,0,0,0,80,煮干しダイエット……？まぁいいや、予想外にもとても喜んでくれたみたい！よかった！,1,54,26,0,0,0,0
121,今日は桜児くんの誕生日。私 ,なりに頑張って手編みマフラー,に挑戦したけど喜んでくれるか, な……？,0,0,90,今日は桜児くんの誕生日。私なりに頑張って手編みマフラーに挑戦したけど喜んでくれるかな……？,1,64,36,8,0,0,0
122,「桜児くん誕生日おめでとう ,！いつも話しかけてくれてあり,がとう！お近づきの印にこれ、, 手作りしてみたよ。」,0,0,102,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印にこれ、手作りしてみたよ。」,1,76,48,20,0,0,0
123,「え……？手作り？5月にマフ, ラーって斬新だね〜、あはは , ありがとう……」,0,0,0,70,「え……？手作り？5月にマフラーって斬新だね〜、あはは、ありがとう……」,1,44,16,0,0,0,0
124,ちょっと引かれちゃった？,0,0,0,0,0,24,ちょっと引かれちゃった？,0,0,0,0,0,0,0
125,                           , ,0,0,0,0,27,                           ,1,1,0,0,0,0,0
126,もうすぐ転校して2か月かぁ…, …OG☆３とも少しずつ仲良く , れている気がする！,0,0,0,73,もうすぐ転校して2か月かぁ……OG☆３とも少しずつ仲良くなれている気がする！,1,47,19,0,0,0,0
127,桜児くんとは誕生日のとき以 ,来、DMで時々会話している。,0,0,0,0,52,桜児くんとは誕生日のとき以来、DMで時々会話している。,1,26,0,0,0,0,0
128,おじさんの自撮りだらけのイ ,〇スタもなんだか見なれちゃっ,たかも。多分。,0,0,0,68,おじさんの自撮りだらけのイ〇スタもなんだか見なれちゃったかも。多分。,1,42,14,0,0,0,0
129,あ！今日も桜児くんからDMが ,きた！,0,0,0,0,32,あ！今日も桜児くんからDMがきた！,1,6,0,0,0,0,0
130,「最近学園の近くにパンケー ,キ屋さんができたんだって〜！,今度行かない？」,0,0,0,69,「最近学園の近くにパンケーキ屋さんができたんだって〜！今度行かない？」,1,43,15,0,0,0,0
131,「そこ気になってるとこだ〜 ,！」,0,0,0,0,29,「そこ気になってるとこだ〜！」,1,3,0,0,0,0,0
132,「そのお店カップル割あるっ ,て！折角だしカップルとしてい,こうよ〜！」,0,0,0,65,「そのお店カップル割あるって！折角だしカップルとしていこうよ〜！」,1,39,11,0,0,0,0
133,不覚にもドキッとしてしまっ ,た……人気ものの桜児くんから,すれば多分ファンサみたいなも, のなのに。,0,0,92,不覚にもドキッとしてしまった……人気ものの桜児くんからすれば多分ファンサみたいなものなのに。,1,66,38,10,0,0,0
134,ていうかDMだから顔見えない ,し忘れてたけど、今の桜児くん,は私から見ればおじさんの見た, 目なんだっだ。あぶないあぶ ,ない。,0,114,ていうかDMだから顔見えないし忘れてたけど、今の桜児くんは私から見ればおじさんの見た目なんだっだ。あぶないあぶない。,1,88,60,32,4,0,0
135,銅像の呪いにかけられなけれ ,ばこんな乙女ゲームみたいな展,開、純粋に楽しめたのに〜！,0,0,0,79,銅像の呪いにかけられなければこんな乙女ゲームみたいな展開、純粋に楽しめたのに〜！,1,53,25,0,0,0,0
136,呪いのせいとはいえおじさん ,とカップルとしてデートかぁ。,0,0,0,0,54,呪いのせいとはいえおじさんとカップルとしてデートかぁ。,1,28,0,0,0,0,0
137,でもあのパンケーキ屋さん,0,0,0,0,0,24,でもあのパンケーキ屋さん,0,0,0,0,0,0,0
138,返信どうしようかな？,0,0,0,0,0,20,返信どうしようかな？,0,0,0,0,0,0,0
139, ,0,0,0,0,0,1, ,0,0,0,0,0,0,0
140,桜児くんと仲良くなるチャン ,スだし行くしかないよね！ここ,のパンケーキ屋さん気になって, たし楽しみだなぁ。,0,0,100,桜児くんと仲良くなるチャンスだし行くしかないよね！ここのパンケーキ屋さん気になってたし楽しみだなぁ。,1,74,46,18,0,0,0
141,「私もそこのパンケーキすご ,く食べたかったし、いいよー！,」,0,0,0,56,「私もそこのパンケーキすごく食べたかったし、いいよー！」,1,30,2,0,0,0,0
142,「じゃあ土曜日に学校の近く ,の商店街で待ち合わせね！」,0,0,0,0,52,「じゃあ土曜日に学校の近くの商店街で待ち合わせね！」,1,26,0,0,0,0,0
143,[当日],0,0,0,0,0,6,[当日],0,0,0,0,0,0,0
144,……早めに着いちゃった。さ ,すがに桜児くんも来てないみた,い。,0,0,0,58,……早めに着いちゃった。さすがに桜児くんも来てないみたい。,1,32,4,0,0,0,0
145,「ごっめ〜ん！先にきてたん ,だね、待った？」,0,0,0,0,41,「ごっめ〜ん！先にきてたんだね、待った？」,1,15,0,0,0,0,0
146,「こっちが早めに着いちゃっ ,ただけだから大丈夫だよ。」,0,0,0,0,52,「こっちが早めに着いちゃっただけだから大丈夫だよ。」,1,26,0,0,0,0,0
147,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
148,私達はそれぞれ好みのトッピ ,ングが乗ったパンケーキを選ん,だ。,0,0,0,58,私達はそれぞれ好みのトッピングが乗ったパンケーキを選んだ。,1,32,4,0,0,0,0
149,「お待たせいたしました。ご ,注文のパンケーキでございます,。」,0,0,0,58,「お待たせいたしました。ご注文のパンケーキでございます。」,1,32,4,0,0,0,0
150,「わ〜っ！おいしそう！みて ,みて！この飾りのクッキー可愛,い〜っ！イ〇スタに載せちゃお, ！」,0,0,84,「わ〜っ！おいしそう！みてみて！この飾りのクッキー可愛い〜っ！イ〇スタに載せちゃお！」,1,58,30,2,0,0,0
151,桜児くんいつもよりテンショ ,ン高い。見た目はおじさんに見,えてるけど私より女子高生みた, いなテンションだ……,0,0,102,桜児くんいつもよりテンション高い。見た目はおじさんに見えてるけど私より女子高生みたいなテンションだ……,1,76,48,20,0,0,0
152,「私もイ〇スタにパンケーキ ,の写真のせよう！」,0,0,0,0,44,「私もイ〇スタにパンケーキの写真のせよう！」,1,18,0,0,0,0,0
153,元々乙女ゲームしてばっかり ,しててイ○スタは投稿してなか,ったけど、桜児くんといると私, もつられてイ〇スタに投稿し ,たくなっちゃった。,0,126,元々乙女ゲームしてばっかりしててイ○スタは投稿してなかったけど、桜児くんといると私もつられてイ〇スタに投稿したくなっちゃった。,1,100,72,44,16,0,0
154,           ,0,0,0,0,0,11,           ,0,0,0,0,0,0,0
155,「あ〜！パンケーキおいしか ,った！」,0,0,0,0,33,「あ〜！パンケーキおいしかった！」,1,7,0,0,0,0,0
156,「奢ってくれてありがとう… ,…本当に大丈夫なの？」,0,0,0,0,48,「奢ってくれてありがとう……本当に大丈夫なの？」,1,22,0,0,0,0,0
157,「カップル割でパンケーキ食 ,べよって誘ったの僕だし全然い,いよー！ファンサだよっ！」,0,0,0,80,「カップル割でパンケーキ食べよって誘ったの僕だし全然いいよー！ファンサだよっ！」,1,54,26,0,0,0,0
158,今の見た目がおじさんなせい ,でパパ活してる人みたいな気分,になっちゃったけど。,0,0,0,74,今の見た目がおじさんなせいでパパ活してる人みたいな気分になっちゃったけど。,1,48,20,0,0,0,0
159,「ねぇねぇ！折角だしツーシ ,ョ撮らない？これもファンサっ,てことで！」,0,0,0,66,「ねぇねぇ！折角だしツーショ撮らない？これもファンサってことで！」,1,40,12,0,0,0,0
160,桜児くんはファンサって言い ,ながら色んなことをしてくれる,なぁ。,0,0,0,60,桜児くんはファンサって言いながら色んなことをしてくれるなぁ。,1,34,6,0,0,0,0
161,「こっちきて！撮るよ〜」,0,0,0,0,0,23,「こっちきて！撮るよ〜」,0,0,0,0,0,0,0
