number,mainstory,name,centercharacterimage,rightcaracterimage,leftcharacterimage,backimage,stillimage,characteranimation,bgm,se,selectid,monthimage,fadeanimation,moveanimation,screenanimation
90,「もってるんですか？！やっぱり光先輩ってかわいいものが好きなんですね。」,えみ,hikaruoji_mu,clear,clear,back_shopload,0,,fancyshop,0,0,0,,,
91,「勘違いしないでくれ。妹からもらっただけだからな！」,目鏡 光,hikaruoji_mu,clear,clear,back_shopload,0,,fancyshop,0,0,0,,,
92,やっぱりかわいい物好きを否定しているときの光先輩はムキになっているような気がする。,,hikaruoji,clear,clear,back_shopload,0,,fancyshop,0,0,0,,,
93,  ,                ,clear,clear,clear,back_shopload,0,,fancyshop,0,0,0,,,
94,「今日は本当にありがとうございました。」,えみ,hikaruoji,clear,clear,back_classroom,0,,normal,0,0,0,,,
95,「お疲れ様。」,目鏡 光,hikaruoji,clear,clear,back_classroom,0,,normal,0,0,0,,,
96,今日は早く帰って教えてもらったところを復習しよう。,,hikaruoji,clear,clear,back_classroom,0,,normal,0,0,0,,,
97,  ,clear,clear,clear,clear,back_classroom,0,,normal,0,0,0,in,,
98,                                  ,clear,clear,clear,clear,back_heroineroom_night,0,,0,0,0,0,out,,
99,,clear,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,部屋,
100,あれ？イ〇スタのフォローリクエストがきてる。めずらしいな、どんな人だろう？,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
101,………………？！,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
102,ヒィ〜〜！！！おじさんの自撮りだらけ？！,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
103,フォロワーも沢山いるし謎……あ、よく見るとおじさんになった桜児(おうじ)くんだ！,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
104,おじさんに見える呪いって現実だけじゃなくて写真にもかかってるんだ……。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
105,それはともかく、桜児くんってもうすぐ誕生日か。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
106,おじさんに見える呪いを解くためにもお誕生日お祝いして親愛度上げないと！,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
107,あ！桜児くんからDMきてる。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
108,「この前倒れてた子だよね？イ〇スタでもよろしくねっ！」,犬山 桜児,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
109,桜児くんイ〇スタでも気さくだなー。誕生日のこと聞いてみよう。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
110,「桜児くんって今度誕生日なんだよね？」,えみ,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
111,「そうだよ〜！」,犬山 桜児,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
112,「桜児くんいつもクラスで馴染めるように沢山声かけてくれて助かってるから、お近づきの印に誕プレ渡してもいい？」,えみ,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
113,「わ〜！嬉しい！ありがとー！誕プレ楽しみにしてるね！」,犬山 桜児,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
114,誕生日プレゼント、何にしよう？,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
115, , ,clear,clear,clear,back_heroineroom_night,0,,room,0,2,0,,,
116,  ,clear,clear,clear,clear,back_heroineroom_night,0,,normal,0,0,0,in,,
117,  ,clear,clear,clear,clear,back_classroom,0,,0,0,0,0,out,,
118,                                  ,clear,clear,clear,clear,back_classroom,0,,normal,0,0,0,,教室,
119,今日は桜児くんの誕生日。私なりにイ〇スタ映えしそうなスイーツを選んでみたけど喜んでくれるかな……？,,clear,clear,clear,back_classroom,0,,normal,0,0,0,,,
120,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印に可愛いスイーツを選んでみたよ。」,えみ,ouzioji,clear,clear,back_classroom,0,,normal,0,0,0,,,
121,「わ〜！かわいい！ありがとう！イ〇スタに載せちゃお！」,犬山 桜児,ouziojismile,clear,clear,back_classroom,0,,normal,0,0,0,,,
122,どうやら喜んでくれたみたいだ。よかった！,,ouziojismile,clear,clear,back_classroom,0,,normal,0,0,0,,,
123,  ,                ,clear,clear,clear,back_heroineroom_night,0,,normal,0,0,0,,,
124,  ,                ,clear,clear,clear,back_classroom,0,,normal,0,0,0,,,
125,                                  ,  ,clear,clear,clear,back_classroom,0,,normal,0,0,0,,,
126,今日は桜児くんの誕生日。思いきって煮干し1kgを選んで見たけど喜んでくれるかな……？,,clear,clear,clear,back_classroom,0,,normal,0,0,0,,,
127,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印に煮干し1kgを選んでみたよ。」,えみ,ouziojithink_close,clear,clear,back_classroom,0,,normal,0,0,0,,,
128,「え！やばい！僕誕生日に煮干し１kgもらったのはじめて！,犬山 桜児,ouziojismile,clear,clear,back_classroom,0,,normal,0,0,0,,,
129,実はイ〇スタで煮干しダイエットが流行ってるらしいから気になってたんだよね、今日から挑戦しちゃお！」,犬山 桜児,ouziojismile,clear,clear,back_classroom,0,,normal,0,0,0,,,
130,煮干しダイエット……？まぁいいや、予想外にもとても喜んでくれたみたい！よかった！,,ouziojismile,clear,clear,back_classroom,0,,normal,0,0,0,,,
131,  ,                ,clear,clear,clear,back_heroineroom_night,0,,normal,0,0,0,,,
132,  ,                ,clear,clear,clear,back_classroom,0,,normal,0,0,0,,,
133,                                  ,  ,clear,clear,clear,back_classroom,0,,normal,0,0,0,,,
134,今日は桜児くんの誕生日。私なりに頑張って手編みマフラーに挑戦したけど喜んでくれるかな……？,,clear,clear,clear,back_classroom,0,,normal,0,0,0,,,
135,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印にこれ、手作りしてみたよ。」,えみ,ouzioji,clear,clear,back_classroom,0,,normal,0,0,0,,,
136,「え……？手作り？5月にマフラーって斬新だね〜、あはは、ありがとう……」,犬山 桜児,ouziojitrouble,clear,clear,back_classroom,0,,normal,0,0,0,,,
137,ちょっと引かれちゃった？,,ouziojitrouble,clear,clear,back_classroom,0,,normal,0,0,0,,,
138,,clear,clear,clear,clear,back_classroom,0,,normal,0,0,0,in,,
139,                           , ,clear,clear,clear,back_classroom,0,,0,jingle,0,month_June,,,
140,もうすぐ転校して2か月かぁ……OG☆３とも少しずつ仲良くなれている気がする！,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
141,桜児くんとは誕生日のとき以来、DMで時々会話している。,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
142,おじさんの自撮りだらけのイ〇スタもなんだか見なれちゃったかも。多分。,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
143,あ！今日も桜児くんからDMがきた！,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
144,「最近学園の近くにパンケーキ屋さんができたんだって〜！今度行かない？」,犬山 桜児,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
145,「そこ気になってるとこだ〜！」,えみ,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
146,「そのお店カップル割あるって！折角だしカップルとしていこうよ〜！」,犬山 桜児,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
147,不覚にもドキッとしてしまった……人気ものの桜児くんからすれば多分ファンサみたいなものなのに。,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
148,ていうかDMだから顔見えないし忘れてたけど、今の桜児くんは私から見ればおじさんの見た目なんだっだ。あぶないあぶない。,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
149,銅像の呪いにかけられなければこんな乙女ゲームみたいな展開、純粋に楽しめたのに〜！,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
150,呪いのせいとはいえおじさんとカップルとしてデートかぁ。,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
151,でもあのパンケーキ屋さん気になってたんだよね,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
152,返信どうしようかな？,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
153, , ,clear,clear,clear,back_heroineroom_noon,0,,room,0,3,0,,,
154,桜児くんと仲良くなるチャンスだし行くしかないよね！ここのパンケーキ屋さん気になってたし楽しみだなぁ。,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
155,「私もそこのパンケーキすごく食べたかったし、いいよー！」,えみ,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
156,「じゃあ土曜日に学校の近くの商店街で待ち合わせね！」,犬山 桜児,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
157,  ,clear,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,in,,
158,  ,clear,clear,clear,clear,back_shopload,0,,0,0,0,0,out,,
159,                                  ,clear,clear,clear,clear,back_shopload,0,,street,0,0,0,,商店街,
160,……早めに着いちゃった。さすがに桜児くんも来てないみたい。,,clear,clear,clear,back_shopload,0,,street,0,0,0,,,
161,「ごっめ〜ん！先にきてたんだね、待った？」,犬山 桜児,ouziojitrouble,clear,clear,back_shopload,0,,street,0,0,0,,,
162,「こっちが早めに着いちゃっただけだから大丈夫だよ。」,えみ,ouziojitrouble,clear,clear,back_shopload,0,,street,0,0,0,,,
163,   ,   ,clear,clear,clear,back_cafe,0,,cafe,0,0,0,,,
164,私達はそれぞれ好みのトッピングが乗ったパンケーキを選んだ。,,clear,clear,clear,back_cafe,0,,cafe,0,0,0,,,
165,「お待たせいたしました。ご注文のパンケーキでございます。」,店員,clear,clear,clear,back_cafe,0,,cafe,0,0,0,,,
166,「わ〜っ！おいしそう！みてみて！この飾りのクッキー可愛い〜っ！イ〇スタに載せちゃお！」,犬山 桜児,ouziojismile,clear,clear,back_cafe,0,pyonpyon,cafe,0,0,0,,,
167,桜児くんいつもよりテンション高い。見た目はおじさんに見えてるけど私より女子高生みたいなテンションだ……,,ouziojismile,clear,clear,back_cafe,0,,cafe,camera,0,0,,,
168,「私もイ〇スタにパンケーキの写真のせよう！」,えみ,ouziojismile,clear,clear,back_cafe,0,,cafe,0,0,0,,,
169,元々乙女ゲームしてばっかりしててイ○スタは投稿してなかったけど、桜児くんといると私もつられてイ〇スタに投稿したくなっちゃった。,,ouziojismile,clear,clear,back_cafe,0,,cafe,camera,0,0,,,
170,,clear,clear,clear,clear,back_cafe,0,,cafe,0,0,0,in,,
171,           ,clear,clear,clear,clear,back_cafe,0,,0,0,0,0,out,,
172,「あ〜！パンケーキおいしかった！」,犬山 桜児,ouziojismile,clear,clear,back_cafe,0,,cafe,0,0,0,,,
173,「奢ってくれてありがとう……本当に大丈夫なの？」,えみ,ouziojismile,clear,clear,back_cafe,0,,cafe,0,0,0,,,
174,「カップル割でパンケーキ食べよって誘ったの僕だし全然いいよー！ファンサだよっ！」,犬山 桜児,ouzioji,clear,clear,back_cafe,0,,cafe,0,0,0,,,
175,今の見た目がおじさんなせいでパパ活してる人みたいな気分になっちゃったけど。,,ouzioji,clear,clear,back_cafe,0,,cafe,0,0,0,,,
176,「ねぇねぇ！折角だしツーショ撮らない？これもファンサってことで！」,犬山 桜児,ouzioji,clear,clear,back_cafe,0,,cafe,0,0,0,,,
177,桜児くんはファンサって言いながら色んなことをしてくれるなぁ。,,ouzioji,clear,clear,back_cafe,0,,cafe,0,0,0,,,
178,「こっちきて！撮るよ〜」,犬山 桜児,ouzioji,clear,clear,back_cafe,0,,cafe,0,0,0,,,
179,  ,  ,clear,clear,clear,back_classroom,2still_June,,cafe,0,0,0,,,
180,「うん！いい感じ！二人とも盛れてる〜っ！」,犬山 桜児,clear,clear,clear,still_June,0,,cafe,camera,0,0,,,
181,そ、そうなんだ……桜児くんが普通の男の子に戻った時のために写真大切に残しとかなきゃ！,,ouzioji,clear,clear,back_cafe,0,,cafe,0,0,0,,,
182,「これもイ〇スタにのせるの？」,えみ,ouzioji,clear,clear,back_cafe,0,,cafe,0,0,0,,,
183,「んーん！これは二人だけの写真だよ。可愛い子との写真を載せたら他の子達が嫉妬しちゃうから！」,犬山 桜児,ouziojismile,clear,clear,back_cafe,0,,cafe,kirakira,0,0,,,
184,わ〜！これも元の姿で言われたかったよ〜！呪いを解くためにがんばらなきゃ。,,ouziojismile,clear,clear,back_cafe,0,,cafe,0,0,0,,,
185,今月はお小遣い使い過ぎちゃってパンケーキを食べる余裕はないな……,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
186,「パンケーキ食べたかったけど今月金欠で行けそうにないな！ごめんね！」,えみ,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
187,「そういうときもあるよね〜！他の人誘うから気にしないで！」,犬山 桜児,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
188,か、悲しい……また金欠にならないようにバイトして稼がないと！,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
189,  ,　,clear,clear,clear,back_classroom,0,,0,jingle,0,month_July,,,
190,今日は体育祭。昨日まで天気が不安だったけど、無事に晴れてよかった！,,clear,clear,clear,back_garage,0,,normal,0,0,0,,,
191,私は小道具の係になったから朝から忙しいし気合い入れて頑張ろう！,,clear,clear,clear,back_garage,0,,normal,0,0,0,,,
192,────皆よりもちょっと遅めに来ちゃったから軽めの荷物は運ばれちゃったみたい……,,clear,clear,clear,back_garage,0,,normal,0,0,0,,,
193,さっき気合い入れて頑張ろうとしてたのに、重そうな小道具ばかりでやる気なくなりそう。,,clear,clear,clear,back_garage,0,,normal,shobon,0,0,,,shock
194,でも係の仕事だしそんなこと言ってられないよね。頑張るぞ！,,clear,clear,clear,back_garage,0,,normal,0,0,0,,,
195,｢ぐぐぐ、重い！｣,えみ,clear,clear,clear,back_garage,0,,normal,0,0,0,,,
196,なんとか持てたけどフラフラしちゃう、よ……わっ！,,clear,clear,clear,back_garage,0,,normal,0,0,0,,,
197,｢先輩、大丈夫？！｣,本田 琉絆空,rukiaoji_sports_surprised,clear,clear,back_garage,0,sliding,normal,attack,0,0,,,
198,｢琉絆空くん？！｣,えみ,rukiaoji_sports_surprised,clear,clear,back_garage,0,,normal,0,0,0,,,
199,　                                                                       ,　,clear,clear,clear,back_garage,3still_July_rukia,,normal,0,0,0,,,
200,｢女の子がこんなに重い荷物持っちゃだめだろ？俺が持つからさ！｣,本田 琉絆空,clear,clear,clear,still_July_rukia,0,,normal,0,0,0,,,
201,｢あ、ありがとう……！｣,えみ,clear,clear,clear,still_July_rukia,0,,normal,0,0,0,,,
202,へ〜、おじさんって力持ちなんだな〜。,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
203,ってちがうちがう！呪いのせいでそう見えてるだけで高校生の男子なんだった。,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
204,最近おじさんの姿のOG☆3に見慣れてきてる！,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
205,あの性格の悪い銅像に洗脳されちゃうよ〜！,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
206, ,clear,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,in,,
207, ,clear,clear,clear,clear,back_ground_noon,0,,0,0,0,0,out,,
208,琉絆空くんの協力のおかげで無事に係の仕事も終わってよかった！,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
209,私の出番はまだだから友達の応援でもしようかな。,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
210,｢キャーーーーｯ！！｣,女子生徒たち,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
211,？！！,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
212,女子たちの歓声が聞こえてくる。なんだろう？,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
213,｢桜児くんがんばってー！｣,女子生徒たち,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
214,歓声を向けられている方を見ると、リレーのアンカーとしてバトンを待つ桜児くんが見えた。,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
215,桜児くんの前の人は一位と大差つけられて二位みたい。,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
